,CountyNo,STATE,HHI,FractionOfForeigners,MedianIncome,PovertyRate,Movers,Gini,"Percent of adults with less than a high school diploma, 2016-20","Percent of adults with a high school diploma only, 2016-20","Percent of adults completing some college or associate's degree, 2016-20",Percent of adults with a bachelor's degree or higher 2016-20,BelowUni,AboveUni,Rural_Urbanization,PopulationDevelopment
0,1,AL,0.4220618526218108,0.02429791519039272,29611.0,0.15283631074478798,6.7,0.4552,11.286317825317383,31.37876319885254,29.017433166503906,28.317485809326172,42.66508102416992,57.33491897583008,2.0,1298
1,3,AL,0.4199310059416108,0.035678923174797546,30558.0,0.09353340444563496,5.3,0.4566,9.52861499786377,27.17355728149414,31.3904972076416,31.907329559326172,36.70217227935791,63.29782676696777,2.0,40969
2,5,AL,0.400110356064961,0.02645634082722643,19111.0,0.25458535171614294,6.5,0.5047,25.26830291748047,35.74197769165039,27.37540054321289,11.614316940307617,61.01028060913086,38.98971748352051,6.0,-2771
3,7,AL,0.6072186362166008,0.016299092960081037,22100.0,0.16902251484874994,6.999999999999999,0.45,19.11553192138672,45.07412338256836,24.463626861572266,11.346718788146973,64.18965530395508,35.81034564971924,1.0,-521
4,9,AL,0.6645328767897425,0.04600182982616651,26998.0,0.14122598353156451,3.5,0.4685,17.174863815307617,35.1007194519043,34.47279739379883,13.251620292663574,52.275583267211914,47.7244176864624,1.0,504
5,11,AL,0.4736597419811298,0.015315315315315315,21481.0,0.2847847847847848,3.0,0.4985,25.058961868286133,41.40625,23.26061248779297,10.274174690246582,66.46521186828613,33.53478717803955,6.0,-813
6,13,AL,0.44174796291601187,0.019216710182767625,20952.0,0.19133159268929503,3.3000000000000003,0.4667,13.646888732910156,46.49059295654297,23.907381057739258,15.955137252807617,60.137481689453125,39.862518310546875,6.0,-1499
7,15,AL,0.6096312732846966,0.02584014532243415,25191.0,0.1547229791099001,5.3,0.4581,14.926487922668457,34.44856643676758,31.768966674804688,18.85597801208496,49.375054359436035,50.62494468688965,2.0,-4967
8,17,AL,0.45079174443466397,0.019121224251008408,23436.0,0.15373956954152168,4.1,0.4182,17.416179656982422,37.14189529418945,30.999958038330078,14.441967010498047,54.558074951171875,45.441925048828125,5.0,-961
9,19,AL,0.7719220703137328,0.01990108803165183,24325.0,0.12985163204747774,5.6,0.4596,17.17599105834961,39.15269470214844,30.737083435058594,12.934231758117676,56.32868576049805,43.67131519317627,6.0,207
10,21,AL,0.53153838329126,0.04628856386151607,25602.0,0.17589654267376106,2.7,0.4603,18.190561294555664,43.345603942871094,24.843299865722656,13.620534896850586,61.53616523742676,38.46383476257324,1.0,785
11,23,AL,0.4975398298632109,0.00903277378097522,21793.0,0.1947242206235012,4.7,0.4534,17.305408477783203,36.12220764160156,33.056243896484375,13.516139030456543,53.427616119384766,46.57238292694092,10.0,-1270
12,25,AL,0.4822882714734163,0.0031430513081889227,21952.0,0.24405368671423716,2.0,0.5303,17.386098861694336,41.561397552490234,27.264562606811523,13.787941932678223,58.94749641418457,41.052504539489746,11.0,-2211
13,27,AL,0.6711831922849137,0.014164742109314857,23105.0,0.15257890685142417,2.9,0.4848,18.738662719726562,40.02774429321289,29.452566146850586,11.781026840209961,58.76640701293945,41.23359298706055,10.0,-697
14,29,AL,0.8421160963961608,0.01478034761187902,26221.0,0.15622006295333243,7.5,0.4638,17.811729431152344,38.375404357910156,27.794647216796875,16.018218994140625,56.1871337890625,43.8128662109375,4.0,-62
15,31,AL,0.47939792211652793,0.03745077553644619,27683.0,0.15589086233223498,9.2,0.431,14.353294372558594,27.48219108581543,36.4370002746582,21.727516174316406,41.83548545837402,58.16451644897461,5.0,2394
16,33,AL,0.394112949810914,0.016046886117664683,26121.0,0.15698610642998914,3.4,0.4352,14.305089950561523,36.98339080810547,31.340686798095703,17.370832443237305,51.28848075866699,48.71151924133301,2.0,813
17,35,AL,0.4742234470656979,0.010540293800315379,21238.0,0.16565690098763383,0.8,0.4392,15.046453475952148,46.73691177368164,24.382505416870117,13.834126472473145,61.78336524963379,38.21663188934326,11.0,-1161
18,37,AL,0.5071869860580972,0.005383452965621458,22108.0,0.120797128825085,8.2,0.4291,16.833715438842773,42.04806137084961,29.561647415161133,11.556574821472168,58.88177680969238,41.1182222366333,3.0,-876
19,39,AL,0.5263066908966866,0.007719027402547279,25808.0,0.1714175442465678,3.6,0.4786,14.655238151550293,37.25631332397461,32.47364044189453,15.61480712890625,51.9115514755249,48.08844757080078,6.0,-716
20,41,AL,0.5035250020432884,0.017375807529516597,22230.0,0.14450137372837307,4.2,0.5165,21.179264068603516,38.17637252807617,22.139612197875977,18.504749298095703,59.35563659667969,40.64436149597168,6.0,-134
21,43,AL,0.8147612709869329,0.026183008318559936,25472.0,0.1283240147279422,5.0,0.4355,17.73638153076172,32.27566909790039,34.57234191894531,15.415604591369629,50.01205062866211,49.98794651031494,3.0,3362
22,45,AL,0.46139483447658725,0.030526561935333006,24824.0,0.182096469037648,12.7,0.4515,14.685877799987793,30.899110794067383,36.19712448120117,18.217885971069336,45.584988594055176,54.41501045227051,5.0,-1079
23,47,AL,0.4729835494865564,0.008399276203851244,20938.0,0.2813892564885084,3.1,0.4723,16.05169677734375,36.22271728515625,31.080394744873047,16.645191192626953,52.2744140625,47.7255859375,5.0,-6624
24,49,AL,0.4134059639000931,0.07850948426439494,23282.0,0.21865902613918425,3.3000000000000003,0.4605,21.974496841430664,32.726783752441406,31.319089889526367,13.979629516601562,54.70128059387207,45.29871940612793,6.0,404
25,51,AL,0.5651852214433728,0.02093164096999672,31019.0,0.10204648111231673,8.5,0.4272,12.736390113830566,31.709426879882812,29.73884391784668,25.815338134765625,44.44581699371338,55.554182052612305,2.0,1906
26,53,AL,0.653157430454544,0.00855935971542908,22747.0,0.2185415740329035,2.6,0.4799,19.647512435913086,43.014434814453125,24.837568283081055,12.500486373901367,62.66194725036621,37.33805465698242,6.0,-1686
27,55,AL,0.57793750986093,0.028365642015091976,24321.0,0.16113260533573082,4.5,0.4553,14.67141342163086,33.39059066772461,34.24114990234375,17.696847915649414,48.06200408935547,51.937997817993164,2.0,-2162
28,57,AL,0.7582620098627841,0.01025512756378189,21245.0,0.19959979989994997,6.7,0.4548,15.805392265319824,42.63740158081055,29.268924713134766,12.28828239440918,58.44279384613037,41.557207107543945,6.0,-939
