,STATE,CountyNo,BelowUni,AboveUni
0,VA,610,9.689605712890625,90.31039333343506
1,VA,13,12.95280122756958,87.04719543457031
2,NM,28,11.896628856658936,88.10337257385254
3,VA,510,17.29119634628296,82.70880126953125
4,CO,13,15.785717487335205,84.21428108215332
5,MD,27,17.83765459060669,82.1623477935791
6,NY,61,24.38288974761963,75.61711120605469
7,VA,59,19.95378875732422,80.04621315002441
8,VA,107,18.461698055267334,81.53830146789551
9,CO,97,17.629618644714355,82.37038230895996
10,NC,135,19.532876014709473,80.46712493896484
11,TN,187,17.802488327026367,82.19751167297363
12,VA,600,20.82475519180298,79.17524337768555
13,CA,41,16.624935626983643,83.37506675720215
14,DC,0,24.73335838317871,75.26663875579834
15,DC,1,24.73335838317871,75.26663875579834
16,IN,57,17.738022327423096,82.26197624206543
17,MD,31,22.019049644470215,77.98094940185547
18,CA,75,23.030972480773926,76.96902656555176
19,VA,3,21.875423908233643,78.12457466125488
20,CO,35,14.377535820007324,85.62246322631836
21,CO,51,20.01846718788147,79.98153114318848
22,MA,17,24.860312938690186,75.13968849182129
23,MI,161,18.998669147491455,81.0013313293457
24,CO,113,22.414074182510376,77.58592414855957
25,KS,91,17.833326816558838,82.16667175292969
26,UT,43,20.799312591552734,79.2006893157959
27,CO,14,17.09013605117798,82.90986442565918
28,VA,540,25.648463249206543,74.35153770446777
29,NJ,35,25.253943920135498,74.74605751037598
30,OH,41,20.72709846496582,79.27290344238281
31,WY,1,17.522254467010498,82.47774696350098
32,NJ,27,24.725818634033203,75.27417945861816
33,WY,39,20.93690252304077,79.06309509277344
34,GA,117,21.927939414978027,78.07206153869629
35,MA,21,24.651676654815674,75.34832382202148
36,GA,121,24.23196268081665,75.76803588867188
37,IA,103,20.061148166656494,79.93885231018066
38,PA,29,26.18660068511963,73.81339836120605
39,CO,79,18.85714340209961,81.14285659790039
40,NJ,19,25.01059579849243,74.98940467834473
41,NC,183,21.29999542236328,78.70000267028809
42,CO,117,21.727349758148193,78.27264976501465
