,CountyNo,"NativeAmerican (AmericanIndianAlaskaNative, NativeHawaianPacific)","Asian (EastAsian,SouthAsian)",Black, White, Mixed,OtherUnknown,STATE,HHI
0,1,252,881,11445,42160,3157,910,AL,0.5552551989511421
1,3,1725,2067,18217,189399,15024,5335,AL,0.6788537936989218
2,5,117,117,11933,11317,700,1039,AL,0.4276453833572758
3,7,69,32,4413,16555,759,465,AL,0.5922611754070352
4,9,361,178,845,50663,3656,3431,AL,0.7414583290077489
5,11,82,9,7396,2320,248,302,AL,0.5616123955739825
6,13,34,143,8430,9752,587,105,AL,0.45887289143492654
7,15,606,1190,25559,80586,6029,2471,AL,0.530412690002239
8,17,119,401,13512,18850,1210,680,AL,0.4466145778367844
9,19,110,56,987,22707,920,191,AL,0.8298924497802097
10,21,344,181,4067,35527,2003,2892,AL,0.6372503346554413
11,23,30,22,5232,7074,260,47,AL,0.4830761730393702
12,25,75,94,10255,12029,552,82,AL,0.4693869858085043
13,27,60,48,1963,11375,595,195,AL,0.659427172393027
14,29,55,21,466,13819,566,129,AL,0.84489028773627
15,31,701,909,8760,37080,4107,1908,AL,0.5154753843504398
16,33,279,432,9286,43631,2697,902,AL,0.6101645294365049
17,35,73,40,5104,5912,369,99,AL,0.45471979343895075
18,37,31,8,3008,6824,354,162,AL,0.5168944703181263
19,39,147,240,4607,30877,1442,257,AL,0.6920544165308954
20,41,64,83,3103,9388,479,77,AL,0.5630088862446122
21,43,472,522,937,79142,4657,2136,AL,0.8148608720512186
22,45,322,671,10241,33429,3420,1243,AL,0.5080739497650237
23,47,82,146,26899,10409,806,120,AL,0.5628210894208076
24,49,2014,253,1046,56420,4704,7171,AL,0.6361483657108755
25,51,369,674,18211,63139,4241,1343,AL,0.560540131576303
26,53,1561,114,10991,22202,1611,278,AL,0.45804434873499206
27,55,793,927,15146,78584,5257,2729,AL,0.602057610043631
28,57,78,51,1736,13666,646,144,AL,0.7141059022868439
29,59,661,68,1166,24333,1592,4293,AL,0.5962311969797736
30,61,189,89,2241,22078,1519,543,AL,0.6966433487498543
31,63,5,7,6246,1301,138,33,AL,0.6815623007418886
32,65,54,25,8337,5999,304,66,AL,0.4830544672031733
33,67,54,73,4248,11888,682,201,AL,0.543849673090475
34,69,559,1282,28408,69265,5591,2097,AL,0.490962009349812
35,71,774,214,1636,45480,3554,921,AL,0.7542746519126646
36,73,2673,13109,281326,329590,28949,19074,AL,0.41549784182684574
37,75,41,6,1425,11962,442,96,AL,0.7444358165433151
38,77,400,770,9243,77141,4458,1552,AL,0.6921462845646313
39,79,1455,87,3304,24915,2874,438,AL,0.5871605934636268
40,81,840,8572,39570,111651,9216,4392,AL,0.4680558103826563
41,83,783,1869,13307,77064,6685,3862,AL,0.5760971218771129
42,85,22,15,7192,2818,225,39,AL,0.5617069679942444
43,87,52,74,15441,3252,500,213,AL,0.6534840676289646
44,89,3460,10292,92066,242510,29389,10436,AL,0.4538465420120781
45,91,12,54,10188,8428,423,218,AL,0.4688436028648037
46,93,120,75,1106,26312,1313,415,AL,0.8078353107331191
47,95,1535,602,2428,76926,6534,9587,AL,0.6361001034583325
48,97,4291,8585,146254,229550,20131,5998,AL,0.4336508284675342
49,99,292,88,8299,10391,623,79,AL,0.45361768097235045
50,101,941,7995,130467,75074,8195,6282,AL,0.43550551913097335
51,103,1036,850,15453,89869,8239,7974,AL,0.5546272151597937
52,105,19,10,5936,2359,176,11,AL,0.5636962711425266
53,107,27,78,7489,10739,500,290,AL,0.469667106237659
54,109,213,588,12138,18275,1356,439,AL,0.44395362221135276
55,111,79,87,3815,16772,844,370,AL,0.6148954826852858
56,113,368,420,26243,27532,3407,1213,AL,0.4168576074919282
57,115,345,663,8652,75728,4651,1064,AL,0.7027807987375163
58,117,1236,5152,28939,165206,13584,8907,AL,0.5714231498615324
59,119,31,102,8997,2974,214,27,AL,0.5895613505401363
60,121,236,395,26439,51214,2908,957,AL,0.49366513828393205
61,123,127,222,10409,28477,1399,677,AL,0.5401197959763384
62,125,1067,3253,69088,136582,10735,6311,AL,0.45774422067613885
63,127,327,297,3929,57012,2730,1047,AL,0.7669493862296377
64,129,1121,14,3318,10309,572,54,AL,0.5020113556561616
65,131,17,7,7483,2880,178,35,AL,0.5724718405126379
66,133,122,61,141,21760,1067,389,AL,0.8568829065153476
67,13,834,771,297,684,208,626,AK,0.19503454054238914
68,16,967,1513,259,1667,374,452,AK,0.23432634037538927
69,20,33662,27646,14576,164446,40802,10115,AK,0.3645100160574404
70,50,15634,202,85,1665,1016,64,AK,0.71258503641512
71,60,308,5,6,370,143,12,AK,0.35435244042137415
72,63,731,529,49,4907,760,126,AK,0.5053436663063329
73,66,673,17,8,1611,282,26,AK,0.4568469965565672
74,68,66,13,11,1382,139,8,AK,0.7378238116620841
75,70,3462,48,25,799,496,27,AK,0.5457089434796261
76,90,8159,3104,4014,65971,12170,2237,AK,0.502476829522891
77,100,216,14,2,1589,242,17,AK,0.6080413276627218
78,105,883,16,6,1147,284,29,AK,0.3892364423029647
79,110,4090,2101,350,20124,4937,653,AK,0.4335323405870822
80,122,4410,809,386,46382,5988,824,AK,0.6386666804233627
81,130,2360,1129,103,8430,1702,224,AK,0.4156674378816513
82,150,1943,2803,90,6570,1307,388,AK,0.33013927522201447
83,158,7946,23,16,173,192,18,AK,0.9026524895440703
84,164,995,9,2,303,167,0,AK,0.5094189966289907
85,170,7350,1559,1121,83035,12299,1717,AK,0.6197909698558796
86,180,7561,111,55,1422,841,56,AK,0.5936911588338081
87,185,6069,641,162,3082,959,118,AK,0.39202049825201074
88,188,6481,55,72,700,462,23,AK,0.7033582389075442
89,195,259,123,49,2470,436,61,AK,0.5524947853894597
90,198,2614,27,22,2403,658,29,AK,0.3940665151947718
91,220,1262,573,37,5174,1197,215,AK,0.4217583876398485
92,230,32,39,10,1070,80,9,AK,0.7505372008324661
93,240,833,87,74,5085,592,137,AK,0.5811014483548075
94,275,382,25,0,1352,338,30,AK,0.46187829745791953
95,282,256,32,4,249,118,3,AK,0.3251841439928441
96,290,3835,8,7,1130,335,28,AK,0.5638729479965234
97,1,47036,312,185,14873,2390,1225,AZ,0.5600053115963987
98,3,1998,2712,4783,81733,21543,12678,AZ,0.4663762640205292
99,5,36487,2674,1961,83360,12963,7656,AZ,0.40456534720614623
100,7,8976,445,282,35904,4592,3073,AZ,0.4934882064084615
101,9,5410,192,537,25043,4126,3225,AZ,0.4607848385431423
102,11,360,75,87,6584,1564,893,AZ,0.5110431908053374
103,12,2882,115,114,9772,2061,1613,AZ,0.40372051067577475
104,13,111611,203696,260469,2645512,600675,598605,AZ,0.40118193768606936
105,15,5594,2734,2221,169732,20310,12676,AZ,0.6469659021755505
106,17,47528,567,760,48430,6283,3149,AZ,0.4087157808087316
107,19,36822,31367,39954,633382,174245,127663,AZ,0.41494097228219157
