,STATE,CountyNo,year,Unemployment
59,AL,1,2015,5.2
60,AL,1,2016,5.1
61,AL,1,2017,4.0
62,AL,1,2018,3.6
63,AL,1,2019,2.9
64,AL,1,2020,5.4
65,AL,1,2021,2.8
81,AL,3,2015,5.6
82,AL,3,2016,5.4
83,AL,3,2017,4.2
84,AL,3,2018,3.6
85,AL,3,2019,2.9
86,AL,3,2020,6.2
87,AL,3,2021,3.0
103,AL,5,2015,8.9
104,AL,5,2016,8.4
105,AL,5,2017,6.0
106,AL,5,2018,5.1
107,AL,5,2019,4.0
108,AL,5,2020,7.8
109,AL,5,2021,5.7
125,AL,7,2015,6.7
126,AL,7,2016,6.5
127,AL,7,2017,4.5
128,AL,7,2018,4.0
129,AL,7,2019,3.2
130,AL,7,2020,7.3
131,AL,7,2021,3.5
147,AL,9,2015,5.4
148,AL,9,2016,5.4
149,AL,9,2017,4.1
150,AL,9,2018,3.5
151,AL,9,2019,2.8
152,AL,9,2020,4.6
153,AL,9,2021,2.4
169,AL,11,2015,8.0
170,AL,11,2016,6.9
171,AL,11,2017,5.0
172,AL,11,2018,4.6
173,AL,11,2019,3.9
174,AL,11,2020,6.0
175,AL,11,2021,4.0
191,AL,13,2015,7.6
192,AL,13,2016,6.9
193,AL,13,2017,5.6
194,AL,13,2018,4.7
195,AL,13,2019,3.9
196,AL,13,2020,9.6
197,AL,13,2021,5.3
213,AL,15,2015,7.1
214,AL,15,2016,6.6
215,AL,15,2017,5.1
216,AL,15,2018,4.6
217,AL,15,2019,3.7
218,AL,15,2020,7.8
219,AL,15,2021,4.1
235,AL,17,2015,6.1
236,AL,17,2016,5.5
237,AL,17,2017,4.2
238,AL,17,2018,3.9
239,AL,17,2019,3.1
240,AL,17,2020,7.5
241,AL,17,2021,3.7
257,AL,19,2015,5.5
258,AL,19,2016,5.1
259,AL,19,2017,4.2
260,AL,19,2018,3.5
261,AL,19,2019,3.0
262,AL,19,2020,5.1
263,AL,19,2021,2.5
279,AL,21,2015,5.7
280,AL,21,2016,5.5
281,AL,21,2017,4.2
282,AL,21,2018,3.6
283,AL,21,2019,2.9
284,AL,21,2020,5.5
285,AL,21,2021,2.9
301,AL,23,2015,9.2
